Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature;;;;;;;;;
"spotify:track:13m83sYVFg7IR4H0oi4hGi,""Tengo Tiempo"",""Cristal Flow"",""Keenwan"",2012-01-12,147934,41,false,,2026-04-08T12:05:56Z,""hip hop latino"",""Beat One Kapital Records"",0.699,0.865,8,-4.652,1,0.35,0.0721,0.00000621,0.144,0.929,84.164,4";;;;;;;;;
"spotify:track:7M3KyYaVUCSsCalhShI8yH,""Dices (Remix) [feat. Arcangel & Wisin]"",""Dices (Remix) [feat. Arcangel & Wisin]"",""De La Ghetto";Arcángel;"Wisin"",2015-10-23,274074,67,false,,2026-04-07T14:15:19Z,""reggaeton,trap latino,urbano latino,Música latina"",""Latin Nation Entertainment"",0.753,0.91,1,-3.26,0,0.0688,0.306,0,0.103,0.922,162.005,4";;;;;;;
"spotify:track:2M92bACIlBqgeb4gxIzZUf,""Dices"",""Dices"",""De La Ghetto"",2015-03-24,215626,67,true,,2026-04-07T14:14:10Z,""reggaeton,trap latino,urbano latino"",""Latin Nation Entertainment"",0.717,0.889,8,-4.168,0,0.0448,0.361,0.0016,0.274,0.898,162.035,4";;;;;;;;;
"spotify:track:5SE62j47eAyxSOplRGS6st,""Fronteo"",""Love And Sex"",""Plan B"",2014-09-09,203973,73,false,,2026-04-02T23:03:30Z,""reggaeton"",""Pina Records"",0.872,0.848,4,-4.901,0,0.0872,0.151,0.000344,0.132,0.406,88.006,4";;;;;;;;;
"spotify:track:1zwMYTA5nlNjZxYrvBB2pV,""Someone Like You"",""21"",""Adele"",2011-01-24,285240,80,false,,2026-04-02T02:29:44Z,""pop suave"",""XL Recordings"",0.556,0.319,9,-8.251,1,0.0281,0.893,0,0.0996,0.294,135.187,4";;;;;;;;;
"spotify:track:5XeFesFbtLpXzIVDNQP22n,""I Wanna Be Yours"",""AM"",""Arctic Monkeys"",2013-09-09,183956,93,false,,2026-03-30T20:49:20Z,""indie,garage rock"",""Domino Recording Co"",0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4";;;;;;;;;
"spotify:track:5FVd6KXrgO9B3JPmC8OPst,""Do I Wanna Know?"",""AM"",""Arctic Monkeys"",2013-09-09,272394,90,false,,2026-03-30T20:49:17Z,""indie,garage rock"",""Domino Recording Co"",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4";;;;;;;;;
"spotify:track:2vOMp7BoIYsFqioMiMwz3y,""Dedicación Evolución"",""Dedicación Evolución"",""Keenwan"",2013-04-22,272711,46,false,,2026-03-30T20:28:38Z,""hip hop latino"",""La Loquera Producciones"",0.7,0.711,5,-7.905,0,0.385,0.247,0.000024,0.101,0.858,173.993,4";;;;;;;;;
"spotify:track:1XmAR6YAkAGPXNYzxJZ0Lb,""Dejenla Sonar"",""Dejenla Sonar"",""Espitia Und";3punto3 pana;"Alecc"",2023-03-16,197207,53,true,,2026-03-30T20:21:48Z,"""",""Espitia Und, 3punto3 pana and Jokysam"",0.62,0.747,7,-4.462,1,0.344,0.136,0,0.341,0.799,83.19,4";;;;;;;
"spotify:track:3N8oT0e5dq8DGFnJ8sQyVG,""Hoy por Hoy"",""Agua"",""Crack Family"",2016-09-18,304440,53,true,,2026-03-30T20:18:46Z,""hip hop latino"",""Crack Home Music"",0.733,0.576,11,-5.563,1,0.033,0.00855,0.00262,0.111,0.443,83.234,4";;;;;;;;;
